"File","ExecTime_ms","MaxWorking_MB","MaxPrivate_MB","AvgCPU_pct","AsmFile","AsmLines"
"ops_complex1_HS.exe","185,76","2,027","3,051","0,87","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","162,11","2,027","3,047","1,73","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","186,68","2,027","3,051","0,87","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","197,44","2,027","3,047","1,74","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","174,3","2,027","3,043","0,87","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","185,01","2,027","3,055","2,6","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","185,58","2,027","3,047","1,74","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","158,62","2,027","3,047","0,87","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","184,1","2,027","3,051","0,87","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","178,78","2,023","3,039","0,87","ops_complex1_HS.s","729"
"ops_complex1_HS.exe","149,08","2,027","3,051","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","170,26","2,027","3,043","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","181,39","2,027","3,043","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","186,05","2,027","3,051","2,6","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","168,1","2,027","3,047","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","184,42","2,027","3,051","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","186,83","2,027","3,047","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","178,23","2,027","3,051","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","171,67","2,027","3,051","0,87","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","178,52","2,027","3,047","0","o1_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","170,5","2,027","3,051","0,87","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","152,12","2,027","3,047","0,87","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","255,93","6,273","14,055","0,65","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","186,61","2,027","3,043","0,87","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","155,23","2,023","3,043","0,87","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","169,74","2,027","3,051","0","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","182,71","2,027","3,051","0,87","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","188,5","2,027","3,047","0","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","181,67","2,027","3,043","0,87","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","176,26","2,027","3,051","0,87","o2_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","176,14","2,027","3,047","4,34","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","173,82","2,027","3,047","0,87","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","176,92","2,023","3,043","0,87","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","191,9","2,023","3,047","0,87","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","193,1","2,027","3,051","0,87","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","176,96","2,027","3,051","0,87","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","164,84","2,027","3,051","0,87","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","179,31","2,027","3,043","2,6","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","180,79","2,027","3,047","0,87","o3_ops_complex1_HS.s","267"
"ops_complex1_HS.exe","163,4","2,023","3,047","0,87","o3_ops_complex1_HS.s","267"
