"File","ExecTime_ms","MaxWorking_MB","MaxPrivate_MB","AvgCPU_pct","AsmFile","AsmLines"
"tc1_HS.exe","189,33","2,027","3,07","0,87","tc1_HS.s","429"
"tc1_HS.exe","216,75","2,031","3,066","1,73","tc1_HS.s","429"
"tc1_HS.exe","182,19","2,027","3,07","0,87","tc1_HS.s","429"
"tc1_HS.exe","153,53","2,027","3,07","1,73","tc1_HS.s","429"
"tc1_HS.exe","173,92","2,027","3,066","0,87","tc1_HS.s","429"
"tc1_HS.exe","179,02","2,027","3,062","1,73","tc1_HS.s","429"
"tc1_HS.exe","167,12","2,027","3,07","0,87","tc1_HS.s","429"
"tc1_HS.exe","190,51","2,027","3,07","1,74","tc1_HS.s","429"
"tc1_HS.exe","182,51","2,027","3,062","0,87","tc1_HS.s","429"
"tc1_HS.exe","153,52","2,023","3,059","0,87","tc1_HS.s","429"
"tc1_HS.exe","172,97","2,027","3,066","0,87","o1_tc1_HS.s","187"
"tc1_HS.exe","164,95","2,027","3,066","0,87","o1_tc1_HS.s","187"
"tc1_HS.exe","175,37","2,027","3,066","0","o1_tc1_HS.s","187"
"tc1_HS.exe","168,67","2,027","3,066","1,73","o1_tc1_HS.s","187"
"tc1_HS.exe","176,44","2,027","3,066","0,87","o1_tc1_HS.s","187"
"tc1_HS.exe","178,03","2,027","3,066","0,87","o1_tc1_HS.s","187"
"tc1_HS.exe","179,14","2,027","3,074","0,87","o1_tc1_HS.s","187"
"tc1_HS.exe","173,2","2,023","3,062","0","o1_tc1_HS.s","187"
"tc1_HS.exe","173,75","2,027","3,062","0,87","o1_tc1_HS.s","187"
"tc1_HS.exe","181,34","2,027","3,07","0,87","o1_tc1_HS.s","187"
"tc1_HS.exe","177,27","2,027","3,066","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","155,61","2,027","3,066","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","185,38","2,027","3,066","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","167,71","2,027","3,062","1,74","o2_tc1_HS.s","187"
"tc1_HS.exe","150,38","2,027","3,062","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","177,99","2,027","3,066","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","171,03","2,027","3,066","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","176,9","2,027","3,066","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","186,47","2,699","3,301","0","o2_tc1_HS.s","187"
"tc1_HS.exe","176,03","2,027","3,066","0,87","o2_tc1_HS.s","187"
"tc1_HS.exe","178,15","2,027","3,066","0,87","o3_tc1_HS.s","187"
"tc1_HS.exe","191,42","2,027","3,066","1,73","o3_tc1_HS.s","187"
"tc1_HS.exe","179,54","2,027","3,07","0","o3_tc1_HS.s","187"
"tc1_HS.exe","168,45","2,027","3,07","0,87","o3_tc1_HS.s","187"
"tc1_HS.exe","182,74","2,027","3,07","2,6","o3_tc1_HS.s","187"
"tc1_HS.exe","183,25","2,027","3,066","0,87","o3_tc1_HS.s","187"
"tc1_HS.exe","173,71","2,027","3,066","0","o3_tc1_HS.s","187"
"tc1_HS.exe","182,71","2,027","3,066","0","o3_tc1_HS.s","187"
"tc1_HS.exe","185,65","2,027","3,066","0,87","o3_tc1_HS.s","187"
"tc1_HS.exe","155,83","2,027","3,066","0,87","o3_tc1_HS.s","187"
"tc2_HS.exe","169,36","2,023","3,059","0,87","tc2_HS.s","265"
"tc2_HS.exe","151,63","2,027","3,074","0,87","tc2_HS.s","265"
"tc2_HS.exe","150,6","2,027","3,07","1,74","tc2_HS.s","265"
"tc2_HS.exe","170,22","2,027","3,066","0,87","tc2_HS.s","265"
"tc2_HS.exe","198,53","2,027","3,066","0,87","tc2_HS.s","265"
"tc2_HS.exe","176,45","2,027","3,07","0,87","tc2_HS.s","265"
"tc2_HS.exe","267,87","3,703","3,703","0","tc2_HS.s","265"
"tc2_HS.exe","182,88","2,027","3,066","0,87","tc2_HS.s","265"
"tc2_HS.exe","186,37","2,027","3,066","1,74","tc2_HS.s","265"
"tc2_HS.exe","171,87","2,027","3,07","1,74","tc2_HS.s","265"
"tc2_HS.exe","185,04","2,027","3,066","0,87","o1_tc2_HS.s","187"
"tc2_HS.exe","176,25","2,027","3,07","0,87","o1_tc2_HS.s","187"
"tc2_HS.exe","178,8","2,027","3,062","0,87","o1_tc2_HS.s","187"
"tc2_HS.exe","160,25","2,023","3,062","0","o1_tc2_HS.s","187"
"tc2_HS.exe","162,6","2,027","3,066","0,87","o1_tc2_HS.s","187"
"tc2_HS.exe","197,48","2,027","3,062","0,87","o1_tc2_HS.s","187"
"tc2_HS.exe","182,1","2,027","3,062","0","o1_tc2_HS.s","187"
"tc2_HS.exe","183,38","2,027","3,066","0,87","o1_tc2_HS.s","187"
"tc2_HS.exe","175,69","2,027","3,062","0,87","o1_tc2_HS.s","187"
"tc2_HS.exe","185,05","2,027","3,07","0","o1_tc2_HS.s","187"
"tc2_HS.exe","188,75","2,027","3,062","0,87","o2_tc2_HS.s","187"
"tc2_HS.exe","178,58","2,027","3,066","0,87","o2_tc2_HS.s","187"
"tc2_HS.exe","182,4","2,023","3,062","0,87","o2_tc2_HS.s","187"
"tc2_HS.exe","177,1","2,027","3,066","0","o2_tc2_HS.s","187"
"tc2_HS.exe","182,5","2,027","3,066","3,47","o2_tc2_HS.s","187"
"tc2_HS.exe","179,44","2,023","3,066","0","o2_tc2_HS.s","187"
"tc2_HS.exe","186,13","2,027","3,066","1,74","o2_tc2_HS.s","187"
"tc2_HS.exe","180,32","2,027","3,074","1,73","o2_tc2_HS.s","187"
"tc2_HS.exe","172,68","2,027","3,066","0,87","o2_tc2_HS.s","187"
"tc2_HS.exe","165,3","2,027","3,066","0","o2_tc2_HS.s","187"
"tc2_HS.exe","181,63","2,027","3,062","0,87","o3_tc2_HS.s","187"
"tc2_HS.exe","181,2","2,027","3,062","1,74","o3_tc2_HS.s","187"
"tc2_HS.exe","195,05","2,027","3,07","0,87","o3_tc2_HS.s","187"
"tc2_HS.exe","199,95","2,027","3,066","1,74","o3_tc2_HS.s","187"
"tc2_HS.exe","181,66","2,027","3,062","2,6","o3_tc2_HS.s","187"
"tc2_HS.exe","203,02","2,027","3,066","0,87","o3_tc2_HS.s","187"
"tc2_HS.exe","168,31","2,023","3,059","0,87","o3_tc2_HS.s","187"
"tc2_HS.exe","176,67","2,027","3,07","0,87","o3_tc2_HS.s","187"
"tc2_HS.exe","174,42","2,027","3,062","1,74","o3_tc2_HS.s","187"
"tc2_HS.exe","177","2,027","3,066","0","o3_tc2_HS.s","187"
"tc3_HS.exe","112,5","2,012","3,055","1,3","tc3_HS.s","559"
"tc3_HS.exe","186,9","2,012","3,047","0","tc3_HS.s","559"
"tc3_HS.exe","175,91","2,008","3,047","0","tc3_HS.s","559"
"tc3_HS.exe","180,77","2,012","3,055","0,87","tc3_HS.s","559"
"tc3_HS.exe","158,41","2,012","3,047","0,87","tc3_HS.s","559"
"tc3_HS.exe","180,11","2,008","3,043","2,6","tc3_HS.s","559"
"tc3_HS.exe","187,76","2,016","3,047","0,87","tc3_HS.s","559"
"tc3_HS.exe","182,65","2,012","3,055","0,87","tc3_HS.s","559"
"tc3_HS.exe","176,48","2,012","3,051","0,87","tc3_HS.s","559"
"tc3_HS.exe","178,77","2,012","3,051","0,87","tc3_HS.s","559"
"tc4_HS.exe","180,95","2,008","3,043","4,34","tc4_HS.s","707"
"tc4_HS.exe","169,5","2,012","3,055","0,87","tc4_HS.s","707"
"tc4_HS.exe","170,44","2,012","3,055","0,87","tc4_HS.s","707"
