"File","ExecTime_ms","MaxWorking_MB","MaxPrivate_MB","AvgCPU_pct","AsmFile","AsmLines"
"min1_HS.exe","193,34","3,809","3,789","0,87","o3_min1_HS.s","167"
"min1_HS.exe","172,05","2,027","3,047","0,87","o3_min1_HS.s","167"
"min1_HS.exe","178,77","2,027","3,043","0,87","o3_min1_HS.s","167"
"min1_HS.exe","160,64","2,027","3,047","0,87","o3_min1_HS.s","167"
"min1_HS.exe","159,53","2,027","3,047","0,87","o3_min1_HS.s","167"
"min1_HS.exe","168,49","2,027","3,043","0,87","o3_min1_HS.s","167"
"min1_HS.exe","157,37","2,027","3,051","0,87","o3_min1_HS.s","167"
"min1_HS.exe","193,95","2,027","3,051","0,87","o3_min1_HS.s","167"
"min1_HS.exe","197,02","2,027","3,047","0,87","o3_min1_HS.s","167"
"min1_HS.exe","177,08","2,023","3,043","0,87","o3_min1_HS.s","167"
"min2_HS.exe","170,33","2,027","3,047","0,87","o3_min2_HS.s","167"
"min2_HS.exe","174,01","2,027","3,051","1,74","o3_min2_HS.s","167"
"min2_HS.exe","176,92","2,027","3,047","2,6","o3_min2_HS.s","167"
"min2_HS.exe","176,65","2,027","3,051","0,87","o3_min2_HS.s","167"
"min2_HS.exe","167,22","2,027","3,051","0,87","o3_min2_HS.s","167"
"min2_HS.exe","166,08","2,027","3,051","0,87","o3_min2_HS.s","167"
"min2_HS.exe","176,52","2,027","3,043","0,87","o3_min2_HS.s","167"
"min2_HS.exe","176,2","2,027","3,043","0","o3_min2_HS.s","167"
"min2_HS.exe","163,25","2,027","3,051","1,74","o3_min2_HS.s","167"
"min2_HS.exe","183,8","2,027","3,043","0,87","o3_min2_HS.s","167"
"min3_HS.exe","185,96","2,027","3,047","0,87","o3_min3_HS.s","167"
"min3_HS.exe","180,22","2,027","3,051","0","o3_min3_HS.s","167"
"min3_HS.exe","175,27","2,023","3,039","0,87","o3_min3_HS.s","167"
"min3_HS.exe","179,2","2,027","3,047","0,87","o3_min3_HS.s","167"
"min3_HS.exe","180,61","2,027","3,051","0","o3_min3_HS.s","167"
"min3_HS.exe","163,63","2,027","3,039","1,74","o3_min3_HS.s","167"
"min3_HS.exe","166,46","2,027","3,039","0","o3_min3_HS.s","167"
"min3_HS.exe","170,1","2,027","3,047","1,74","o3_min3_HS.s","167"
"min3_HS.exe","170,94","2,027","3,051","1,74","o3_min3_HS.s","167"
"min3_HS.exe","176,62","2,027","3,047","0","o3_min3_HS.s","167"
"min4_HS.exe","162,72","2,027","3,043","0,87","o3_min4_HS.s","167"
"min4_HS.exe","171,51","2,027","3,047","0,87","o3_min4_HS.s","167"
"min4_HS.exe","152,08","2,027","3,043","0","o3_min4_HS.s","167"
"min4_HS.exe","183,96","2,027","3,047","1,73","o3_min4_HS.s","167"
"min4_HS.exe","175,98","2,027","3,043","0,87","o3_min4_HS.s","167"
"min4_HS.exe","177,89","2,027","3,047","0","o3_min4_HS.s","167"
"min4_HS.exe","185,35","2,027","3,047","0","o3_min4_HS.s","167"
"min4_HS.exe","175,98","2,027","3,047","0,87","o3_min4_HS.s","167"
"min4_HS.exe","187,42","2,027","3,051","0,87","o3_min4_HS.s","167"
"min4_HS.exe","175,32","2,027","3,047","1,74","o3_min4_HS.s","167"
"min5_HS.exe","176,49","2,027","3,051","0,87","o3_min5_HS.s","167"
"min5_HS.exe","175,62","2,023","3,043","1,74","o3_min5_HS.s","167"
"min5_HS.exe","187,33","2,027","3,047","0,87","o3_min5_HS.s","167"
"min5_HS.exe","156,78","2,027","3,043","0,87","o3_min5_HS.s","167"
"min5_HS.exe","174,03","2,027","3,043","0,87","o3_min5_HS.s","167"
"min5_HS.exe","172,1","2,027","3,051","0","o3_min5_HS.s","167"
"min5_HS.exe","181,76","2,023","3,043","3,47","o3_min5_HS.s","167"
"min5_HS.exe","194,35","2,027","3,047","0,87","o3_min5_HS.s","167"
"min5_HS.exe","191,28","2,027","3,051","0","o3_min5_HS.s","167"
"min5_HS.exe","183,36","2,027","3,051","0,87","o3_min5_HS.s","167"
"min5_HS.exe","148,89","2,027","3,047","0,87","o2_min5_HS.s","167"
"min5_HS.exe","183,14","2,027","3,051","0","o2_min5_HS.s","167"
"min5_HS.exe","173,09","2,027","3,051","0,87","o2_min5_HS.s","167"
"min5_HS.exe","183,2","2,027","3,047","0","o2_min5_HS.s","167"
"min5_HS.exe","179,37","2,027","3,047","0","o2_min5_HS.s","167"
"min5_HS.exe","175,6","2,027","3,047","0,87","o2_min5_HS.s","167"
"min5_HS.exe","169,83","2,027","3,043","0,87","o2_min5_HS.s","167"
"min5_HS.exe","167,36","2,027","3,051","0,87","o2_min5_HS.s","167"
"min5_HS.exe","160,64","2,027","3,051","2,6","o2_min5_HS.s","167"
"min5_HS.exe","156,1","2,027","3,051","0,87","o2_min5_HS.s","167"
"min4_HS.exe","164,96","2,027","3,043","0","o2_min4_HS.s","167"
"min4_HS.exe","159,51","2,027","3,043","0,87","o2_min4_HS.s","167"
"min4_HS.exe","170,07","2,027","3,047","0","o2_min4_HS.s","167"
"min4_HS.exe","183,54","2,023","3,039","0","o2_min4_HS.s","167"
"min4_HS.exe","189,15","2,027","3,039","0,87","o2_min4_HS.s","167"
"min4_HS.exe","193,51","2,027","3,051","0,87","o2_min4_HS.s","167"
"min4_HS.exe","180,39","2,027","3,043","2,6","o2_min4_HS.s","167"
"min4_HS.exe","170,65","2,027","3,047","1,73","o2_min4_HS.s","167"
"min4_HS.exe","177,96","2,027","3,047","0","o2_min4_HS.s","167"
"min4_HS.exe","167,96","2,027","3,047","0,87","o2_min4_HS.s","167"
"min3_HS.exe","172,98","2,027","3,043","0,87","o2_min3_HS.s","167"
"min3_HS.exe","180,03","2,027","3,051","0,87","o2_min3_HS.s","167"
"min3_HS.exe","178,58","2,027","3,055","1,74","o2_min3_HS.s","167"
"min3_HS.exe","176,83","2,027","3,047","0,87","o2_min3_HS.s","167"
"min3_HS.exe","182,51","2,027","3,051","0,87","o2_min3_HS.s","167"
"min3_HS.exe","176,04","2,027","3,051","0","o2_min3_HS.s","167"
"min3_HS.exe","160,53","2,027","3,039","0,87","o2_min3_HS.s","167"
"min3_HS.exe","183,8","2,027","3,043","1,73","o2_min3_HS.s","167"
"min3_HS.exe","190,73","2,027","3,043","0,87","o2_min3_HS.s","167"
"min3_HS.exe","172,1","2,023","3,043","0,87","o2_min3_HS.s","167"
"min2_HS.exe","179,56","2,027","3,051","0,87","o2_min2_HS.s","167"
"min2_HS.exe","178,78","2,023","3,039","0,87","o2_min2_HS.s","167"
"min2_HS.exe","169,44","2,027","3,055","2,6","o2_min2_HS.s","167"
"min2_HS.exe","173,01","2,027","3,047","0,87","o2_min2_HS.s","167"
"min2_HS.exe","167,32","2,027","3,051","1,74","o2_min2_HS.s","167"
"min2_HS.exe","177,56","2,027","3,055","1,74","o2_min2_HS.s","167"
"min2_HS.exe","169,61","2,027","3,051","0,87","o2_min2_HS.s","167"
"min2_HS.exe","171,7","2,027","3,055","0,87","o2_min2_HS.s","167"
"min2_HS.exe","172,07","2,027","3,043","1,74","o2_min2_HS.s","167"
"min2_HS.exe","179,74","2,027","3,055","0","o2_min2_HS.s","167"
"min1_HS.exe","152,29","2,027","3,051","0,87","o2_min1_HS.s","167"
"min1_HS.exe","153,64","2,027","3,047","1,74","o2_min1_HS.s","167"
"min1_HS.exe","179,43","2,027","3,047","0,87","o2_min1_HS.s","167"
"min1_HS.exe","170,97","2,027","3,051","1,74","o2_min1_HS.s","167"
"min1_HS.exe","166,29","7,75","14,141","0,87","o2_min1_HS.s","167"
"min1_HS.exe","181,41","2,027","3,043","0,87","o2_min1_HS.s","167"
"min1_HS.exe","162,87","2,023","3,039","0,87","o2_min1_HS.s","167"
"min1_HS.exe","271,32","3,781","3,75","1,3","o2_min1_HS.s","167"
"min1_HS.exe","171,71","2,027","3,051","0,87","o2_min1_HS.s","167"
"min1_HS.exe","178,3","2,027","3,047","0,87","o2_min1_HS.s","167"
"min1_HS.exe","168,56","2,027","3,047","0,87","o1_min1_HS.s","167"
"min1_HS.exe","174,93","2,023","3,039","0","o1_min1_HS.s","167"
"min1_HS.exe","175,23","2,027","3,055","0","o1_min1_HS.s","167"
"min1_HS.exe","174,78","2,027","3,047","1,73","o1_min1_HS.s","167"
"min1_HS.exe","182,09","2,027","3,047","1,74","o1_min1_HS.s","167"
"min1_HS.exe","185,18","2,023","3,043","0,87","o1_min1_HS.s","167"
"min1_HS.exe","189,44","2,023","3,043","1,74","o1_min1_HS.s","167"
"min1_HS.exe","167,18","2,027","3,051","0","o1_min1_HS.s","167"
"min1_HS.exe","151,73","2,027","3,047","0,87","o1_min1_HS.s","167"
"min1_HS.exe","173,19","2,027","3,047","1,74","o1_min1_HS.s","167"
"min2_HS.exe","184,21","2,027","3,047","1,73","o1_min2_HS.s","167"
"min2_HS.exe","172,63","2,027","3,047","0,87","o1_min2_HS.s","167"
"min2_HS.exe","181,99","2,027","3,043","0","o1_min2_HS.s","167"
"min2_HS.exe","174,18","2,027","3,047","0,87","o1_min2_HS.s","167"
"min2_HS.exe","171,33","2,027","3,051","0,87","o1_min2_HS.s","167"
"min2_HS.exe","251,12","3,355","3,512","1,3","o1_min2_HS.s","167"
"min2_HS.exe","166,6","2,027","3,047","0,87","o1_min2_HS.s","167"
"min2_HS.exe","147,9","2,027","3,051","0,87","o1_min2_HS.s","167"
"min2_HS.exe","148","2,027","3,051","0,87","o1_min2_HS.s","167"
"min2_HS.exe","180,37","2,027","3,043","0,87","o1_min2_HS.s","167"
"min3_HS.exe","165,61","2,027","3,051","0,87","o1_min3_HS.s","167"
"min3_HS.exe","173,42","2,027","3,051","0,87","o1_min3_HS.s","167"
"min3_HS.exe","172,7","2,027","3,039","0,87","o1_min3_HS.s","167"
"min3_HS.exe","181,37","2,027","3,051","0,87","o1_min3_HS.s","167"
"min3_HS.exe","173,47","2,027","3,047","0","o1_min3_HS.s","167"
"min3_HS.exe","167,2","2,027","3,047","3,47","o1_min3_HS.s","167"
"min3_HS.exe","163,99","2,027","3,043","0,87","o1_min3_HS.s","167"
"min3_HS.exe","154,89","2,027","3,047","1,74","o1_min3_HS.s","167"
"min3_HS.exe","162,45","2,027","3,043","0,87","o1_min3_HS.s","167"
"min3_HS.exe","163,5","2,027","3,051","0,87","o1_min3_HS.s","167"
"min4_HS.exe","167,01","2,027","3,051","0,87","o1_min4_HS.s","167"
"min4_HS.exe","167,5","2,027","3,043","1,74","o1_min4_HS.s","167"
"min4_HS.exe","167,26","2,027","3,047","0","o1_min4_HS.s","167"
"min4_HS.exe","181,47","2,027","3,051","0,87","o1_min4_HS.s","167"
"min4_HS.exe","178,43","2,027","3,051","0,87","o1_min4_HS.s","167"
"min4_HS.exe","218,04","2,027","3,047","1,74","o1_min4_HS.s","167"
"min4_HS.exe","182,12","2,027","3,047","0,87","o1_min4_HS.s","167"
"min4_HS.exe","175,9","2,027","3,043","0,87","o1_min4_HS.s","167"
"min4_HS.exe","261,97","7,723","14,074","0,65","o1_min4_HS.s","167"
"min4_HS.exe","173,09","2,027","3,047","0,87","o1_min4_HS.s","167"
"min5_HS.exe","169,14","2,027","3,043","0","o1_min5_HS.s","167"
"min5_HS.exe","174,41","2,027","3,043","0,87","o1_min5_HS.s","167"
"min5_HS.exe","169,4","2,027","3,051","0,87","o1_min5_HS.s","167"
"min5_HS.exe","178,5","2,027","3,051","0,87","o1_min5_HS.s","167"
"min5_HS.exe","197,61","2,027","3,047","2,6","o1_min5_HS.s","167"
"min5_HS.exe","181,18","2,027","3,051","1,74","o1_min5_HS.s","167"
