"File","ExecTime_ms","MaxWorking_MB","MaxPrivate_MB","AvgCPU_pct","AsmFile","AsmLines"
"min1_C.exe","173,64","2,008","0,418","0","min1_C.s","78"
"min1_C.exe","177,44","2,012","0,422","0","min1_C.s","78"
"min1_C.exe","172,45","2,012","0,422","0","min1_C.s","78"
"min1_C.exe","168,68","2,012","0,422","0","min1_C.s","78"
"min1_C.exe","178,95","2,008","0,414","0","min1_C.s","78"
"min1_C.exe","179,79","2,012","0,422","0","min1_C.s","78"
"min1_C.exe","181,74","2,012","0,422","0","min1_C.s","78"
"min1_C.exe","179,79","2,012","0,422","0","min1_C.s","78"
"min1_C.exe","182,14","2,012","0,422","0,87","min1_C.s","78"
"min1_C.exe","176,29","2,012","0,418","0","min1_C.s","78"
"min2_C.exe","161,21","2,012","0,426","0","min2_C.s","97"
"min2_C.exe","154,14","2,012","0,422","0","min2_C.s","97"
"min2_C.exe","166,8","2,012","0,422","0","min2_C.s","97"
"min2_C.exe","173,59","2,012","0,422","0","min2_C.s","97"
"min2_C.exe","189,49","2,012","0,422","0","min2_C.s","97"
"min2_C.exe","186,43","2,012","0,422","0,87","min2_C.s","97"
"min2_C.exe","174,89","2,012","0,418","0","min2_C.s","97"
"min2_C.exe","183,28","2,012","0,422","0","min2_C.s","97"
"min2_C.exe","160,86","2,012","0,426","0","min2_C.s","97"
"min2_C.exe","222,53","2,012","0,426","0,87","min2_C.s","97"
"min3_C.exe","146,73","2,012","0,418","0","min3_C.s","112"
"min3_C.exe","172,12","2,012","0,422","0","min3_C.s","112"
"min3_C.exe","178,45","2,012","0,422","0,87","min3_C.s","112"
"min3_C.exe","166,97","2,012","0,418","0","min3_C.s","112"
"min3_C.exe","183,39","2,012","0,426","0","min3_C.s","112"
"min3_C.exe","170,26","2,012","0,422","0","min3_C.s","112"
"min3_C.exe","180,7","2,012","0,422","0","min3_C.s","112"
"min3_C.exe","190,6","2,012","0,426","0","min3_C.s","112"
"min3_C.exe","179,54","2,016","0,43","0","min3_C.s","112"
"min3_C.exe","172,74","2,012","0,418","0","min3_C.s","112"
"min4_C.exe","156,66","2,012","0,43","0","min4_C.s","127"
"min4_C.exe","174,17","2,012","0,43","0,87","min4_C.s","127"
"min4_C.exe","180,5","2,012","0,426","0","min4_C.s","127"
"min4_C.exe","186,21","2,012","0,422","0","min4_C.s","127"
"min4_C.exe","166,02","2,012","0,426","0,87","min4_C.s","127"
"min4_C.exe","179,91","2,012","0,426","0","min4_C.s","127"
"min4_C.exe","182,74","2,012","0,43","0","min4_C.s","127"
"min4_C.exe","187,12","2,012","0,426","0","min4_C.s","127"
"min4_C.exe","168,37","2,012","0,426","0","min4_C.s","127"
"min4_C.exe","209,98","2,012","0,422","0","min4_C.s","127"
"min5_C.exe","161,35","2,012","0,418","0","min5_C.s","142"
"min5_C.exe","176,67","2,012","0,43","0","min5_C.s","142"
"min5_C.exe","166,22","2,012","0,426","0,87","min5_C.s","142"
"min5_C.exe","155,29","2,008","0,414","0","min5_C.s","142"
"min5_C.exe","170,84","2,012","0,43","0","min5_C.s","142"
"min5_C.exe","177,34","2,012","0,426","0","min5_C.s","142"
"min5_C.exe","170,84","2,012","0,426","0","min5_C.s","142"
"min5_C.exe","180,88","2,012","0,422","0","min5_C.s","142"
"min5_C.exe","179,9","2,012","0,426","0","min5_C.s","142"
"min5_C.exe","182,79","2,012","0,426","0,87","min5_C.s","142"
"min5_C.exe","162,52","2,012","0,426","0","o1_min5_C.s","91"
"min5_C.exe","181,11","2,012","0,422","0","o1_min5_C.s","91"
"min5_C.exe","164,52","2,012","0,43","0","o1_min5_C.s","91"
"min5_C.exe","241,43","2,012","0,422","0","o1_min5_C.s","91"
"min5_C.exe","174,85","2,012","0,422","0,87","o1_min5_C.s","91"
"min5_C.exe","185,1","2,012","0,422","0","o1_min5_C.s","91"
"min5_C.exe","183,24","2,012","0,422","0,87","o1_min5_C.s","91"
"min5_C.exe","167,52","2,012","0,43","0,87","o1_min5_C.s","91"
"min5_C.exe","166","2,008","0,414","1,74","o1_min5_C.s","91"
"min5_C.exe","165,67","2,012","0,422","0,87","o1_min5_C.s","91"
"min4_C.exe","172,25","2,012","0,434","0,87","o1_min4_C.s","83"
"min4_C.exe","184,93","2,012","0,426","1,3","o1_min4_C.s","83"
"min4_C.exe","163,45","2,012","0,426","0","o1_min4_C.s","83"
"min4_C.exe","177,29","2,012","0,434","0","o1_min4_C.s","83"
"min4_C.exe","177,03","2,012","0,426","0","o1_min4_C.s","83"
"min4_C.exe","158,86","2,012","0,426","0","o1_min4_C.s","83"
"min4_C.exe","176,3","2,012","0,426","0,87","o1_min4_C.s","83"
"min4_C.exe","175,8","2,008","0,422","0","o1_min4_C.s","83"
"min4_C.exe","185,86","2,012","0,43","0,87","o1_min4_C.s","83"
"min4_C.exe","185,26","2,012","0,426","0","o1_min4_C.s","83"
"min3_C.exe","179,3","2,012","0,422","0","o1_min3_C.s","75"
"min3_C.exe","183,58","2,012","0,422","0","o1_min3_C.s","75"
"min3_C.exe","176,02","2,012","0,426","0","o1_min3_C.s","75"
"min3_C.exe","175,45","2,012","0,426","0","o1_min3_C.s","75"
"min3_C.exe","162,08","2,012","0,414","0","o1_min3_C.s","75"
"min3_C.exe","174,21","2,012","0,422","0","o1_min3_C.s","75"
"min3_C.exe","170,88","2,012","0,422","0","o1_min3_C.s","75"
"min3_C.exe","170,56","2,012","0,422","0","o1_min3_C.s","75"
"min3_C.exe","187,24","2,012","0,422","0,87","o1_min3_C.s","75"
"min3_C.exe","178,74","2,012","0,422","0","o1_min3_C.s","75"
"min2_C.exe","217,21","2,012","0,426","0","o1_min2_C.s","67"
"min2_C.exe","199,59","2,012","0,426","0","o1_min2_C.s","67"
"min2_C.exe","169,51","2,012","0,422","0","o1_min2_C.s","67"
"min2_C.exe","168,94","2,012","0,418","0","o1_min2_C.s","67"
"min2_C.exe","146,35","2,012","0,426","0","o1_min2_C.s","67"
"min2_C.exe","175,66","2,012","0,422","0,87","o1_min2_C.s","67"
"min2_C.exe","189,14","2,012","0,418","0","o1_min2_C.s","67"
"min2_C.exe","183,34","2,012","0,418","0","o1_min2_C.s","67"
"min2_C.exe","181,53","2,012","0,422","0","o1_min2_C.s","67"
"min2_C.exe","166,41","2,012","0,418","0","o1_min2_C.s","67"
"min1_C.exe","174,39","2,012","0,418","0","o1_min1_C.s","59"
"min1_C.exe","147,41","2,012","0,422","0","o1_min1_C.s","59"
"min1_C.exe","154,13","2,012","0,422","0,87","o1_min1_C.s","59"
"min1_C.exe","154,15","2,008","0,418","0","o1_min1_C.s","59"
"min1_C.exe","182,38","2,012","0,422","0","o1_min1_C.s","59"
"min1_C.exe","174,33","2,012","0,422","0","o1_min1_C.s","59"
"min1_C.exe","173,83","2,012","0,422","0","o1_min1_C.s","59"
"min1_C.exe","191,59","2,012","0,422","0,87","o1_min1_C.s","59"
"min1_C.exe","189,43","2,012","0,422","0","o1_min1_C.s","59"
"min1_C.exe","181,42","2,012","0,422","0,87","o1_min1_C.s","59"
"min1_C.exe","163,79","2,012","0,426","0,87","o2_min1_C.s","59"
"min1_C.exe","193,22","2,012","0,426","0,87","o2_min1_C.s","59"
"min1_C.exe","171,98","2,012","0,418","0,87","o2_min1_C.s","59"
"min1_C.exe","167,53","2,012","0,422","0","o2_min1_C.s","59"
"min1_C.exe","351,48","2,012","0,426","0","o2_min1_C.s","59"
"min1_C.exe","171,01","2,012","0,426","0,87","o2_min1_C.s","59"
"min1_C.exe","179,13","2,012","0,422","0","o2_min1_C.s","59"
"min1_C.exe","175,69","2,012","0,418","0","o2_min1_C.s","59"
"min1_C.exe","173,14","2,012","0,426","0","o2_min1_C.s","59"
"min1_C.exe","182,66","2,012","0,426","0","o2_min1_C.s","59"
"min2_C.exe","171,65","2,012","0,426","0,87","o2_min2_C.s","68"
"min2_C.exe","169,94","2,012","0,418","0,87","o2_min2_C.s","68"
"min2_C.exe","167,56","2,012","0,426","0","o2_min2_C.s","68"
"min2_C.exe","155,83","2,012","0,418","0","o2_min2_C.s","68"
"min2_C.exe","172,32","2,012","0,422","0","o2_min2_C.s","68"
"min2_C.exe","173,22","2,012","0,422","0","o2_min2_C.s","68"
"min2_C.exe","173,79","2,012","0,422","0","o2_min2_C.s","68"
"min2_C.exe","173,17","2,012","0,426","0","o2_min2_C.s","68"
"min2_C.exe","170,04","2,012","0,422","0","o2_min2_C.s","68"
"min2_C.exe","174","2,012","0,418","0","o2_min2_C.s","68"
"min3_C.exe","177,44","2,012","0,418","0","o2_min3_C.s","77"
"min3_C.exe","187,86","2,012","0,426","0","o2_min3_C.s","77"
"min3_C.exe","171,82","2,012","0,426","0","o2_min3_C.s","77"
"min3_C.exe","173,92","2,012","0,426","0","o2_min3_C.s","77"
"min3_C.exe","168,96","2,012","0,43","0,87","o2_min3_C.s","77"
"min3_C.exe","172,66","2,012","0,422","0","o2_min3_C.s","77"
"min3_C.exe","175","2,012","0,426","0,87","o2_min3_C.s","77"
"min3_C.exe","150,99","2,012","0,418","0","o2_min3_C.s","77"
"min3_C.exe","164,7","2,012","0,422","0","o2_min3_C.s","77"
"min3_C.exe","188,77","2,012","0,414","0","o2_min3_C.s","77"
"min4_C.exe","186,37","2,012","0,426","0,87","o2_min4_C.s","86"
"min4_C.exe","183,3","2,145","0,43","0,87","o2_min4_C.s","86"
"min4_C.exe","178,6","2,012","0,43","0","o2_min4_C.s","86"
"min4_C.exe","183,39","2,012","0,426","0","o2_min4_C.s","86"
"min4_C.exe","170,16","2,012","0,426","0","o2_min4_C.s","86"
"min4_C.exe","175,2","2,012","0,426","0,87","o2_min4_C.s","86"
"min4_C.exe","172,06","2,012","0,422","0","o2_min4_C.s","86"
"min4_C.exe","157,77","2,012","0,426","0","o2_min4_C.s","86"
"min4_C.exe","161,79","2,012","0,426","0","o2_min4_C.s","86"
"min4_C.exe","172,14","2,012","0,43","0,87","o2_min4_C.s","86"
"min5_C.exe","174,92","2,008","0,414","0,87","o2_min5_C.s","95"
"min5_C.exe","172,91","2,012","0,43","0","o2_min5_C.s","95"
"min5_C.exe","184,39","2,012","0,426","0","o2_min5_C.s","95"
"min5_C.exe","178,2","2,012","0,418","0","o2_min5_C.s","95"
"min5_C.exe","178,39","2,012","0,422","0,87","o2_min5_C.s","95"
"min5_C.exe","175,8","2,012","0,422","0,87","o2_min5_C.s","95"
"min5_C.exe","179,27","2,012","0,418","0","o2_min5_C.s","95"
"min5_C.exe","154,43","2,012","0,422","0","o2_min5_C.s","95"
"min5_C.exe","179,17","2,012","0,426","1,73","o2_min5_C.s","95"
"min5_C.exe","180,76","2,008","0,414","0","o2_min5_C.s","95"
"min5_C.exe","172,9","2,012","0,426","0","o3_min5_C.s","95"
"min5_C.exe","173,13","2,012","0,422","0,87","o3_min5_C.s","95"
"min5_C.exe","176,2","2,012","0,426","0","o3_min5_C.s","95"
"min5_C.exe","176,09","2,012","0,426","0","o3_min5_C.s","95"
"min5_C.exe","175,4","2,012","0,422","0,87","o3_min5_C.s","95"
"min5_C.exe","172,32","2,012","0,422","0,87","o3_min5_C.s","95"
"min5_C.exe","181,15","2,012","0,426","0","o3_min5_C.s","95"
"min5_C.exe","173,67","2,008","0,418","0,87","o3_min5_C.s","95"
"min5_C.exe","179,65","2,012","0,426","0","o3_min5_C.s","95"
"min4_C.exe","165,86","2,012","0,426","0","o3_min4_C.s","86"
"min4_C.exe","179,02","2,012","0,426","0","o3_min4_C.s","86"
"min4_C.exe","176,53","2,012","0,43","0","o3_min4_C.s","86"
"min4_C.exe","174,57","2,012","0,426","0","o3_min4_C.s","86"
"min4_C.exe","158,69","2,012","0,434","0","o3_min4_C.s","86"
"min4_C.exe","153,21","2,012","0,426","0,87","o3_min4_C.s","86"
"min4_C.exe","154,12","2,012","0,43","0","o3_min4_C.s","86"
"min4_C.exe","211,29","2,012","0,43","0","o3_min4_C.s","86"
"min4_C.exe","186,95","2,008","0,422","0","o3_min4_C.s","86"
"min4_C.exe","169,25","2,012","0,422","0","o3_min4_C.s","86"
"min3_C.exe","166,22","2,012","0,422","0","o3_min3_C.s","77"
"min3_C.exe","174,93","2,012","0,422","0,87","o3_min3_C.s","77"
"min3_C.exe","171,94","2,012","0,418","0,87","o3_min3_C.s","77"
"min3_C.exe","155,14","2,008","0,41","0","o3_min3_C.s","77"
"min3_C.exe","167,1","2,012","0,422","0,87","o3_min3_C.s","77"
"min3_C.exe","157,05","2,012","0,426","0","o3_min3_C.s","77"
"min3_C.exe","194,34","2,012","0,426","1,3","o3_min3_C.s","77"
"min3_C.exe","183,32","2,012","0,418","0","o3_min3_C.s","77"
"min3_C.exe","182,21","2,012","0,422","0,87","o3_min3_C.s","77"
"min3_C.exe","179,88","2,012","0,422","0","o3_min3_C.s","77"
"min2_C.exe","178,29","2,012","0,426","0","o3_min2_C.s","68"
"min2_C.exe","174,96","2,012","0,422","0","o3_min2_C.s","68"
"min2_C.exe","176,05","2,012","0,422","0","o3_min2_C.s","68"
"min2_C.exe","174,37","2,012","0,426","0","o3_min2_C.s","68"
"min2_C.exe","174,49","2,012","0,418","0","o3_min2_C.s","68"
"min2_C.exe","177,58","2,012","0,422","0,87","o3_min2_C.s","68"
"min2_C.exe","178,37","2,012","0,422","0","o3_min2_C.s","68"
"min2_C.exe","170,4","2,012","0,43","0","o3_min2_C.s","68"
"min2_C.exe","220,77","2,012","0,426","0","o3_min2_C.s","68"
"min1_C.exe","173,3","2,012","0,418","0","o3_min1_C.s","59"
"min1_C.exe","167,46","2,012","0,426","0","o3_min1_C.s","59"
"min1_C.exe","160,58","2,012","0,422","0","o3_min1_C.s","59"
"min1_C.exe","177,25","2,012","0,422","0","o3_min1_C.s","59"
"min1_C.exe","184,85","2,012","0,426","0","o3_min1_C.s","59"
"min1_C.exe","185,85","2,012","0,418","0","o3_min1_C.s","59"
"min1_C.exe","170,78","2,012","0,43","0","o3_min1_C.s","59"
"min1_C.exe","176,01","2,012","0,422","0,87","o3_min1_C.s","59"
"min1_C.exe","185,94","2,012","0,422","0,87","o3_min1_C.s","59"
"min1_C.exe","175,17","2,012","0,422","0","o3_min1_C.s","59"
